ID;DISTANCE;STOP_COUNT;COST;FITNESS;INTERNET;PETS_ALLOWED;ADDITIONAL_INFO
166;4;1;57000;25;0;Да;
167;26;11;48000;29;1;Да;Исторический центр Санкт-Петербурга.
168;8;6;38000;10;1;Да;
169;28;12;54000;6;3;Да; В ближайшем окружении работают детские сады, школы, гимназии, спортклубы, бассейны, супермаркеты, рестораны, банк, есть место для выгула четвероногих друзей.
170;4;11;28000;6;0;Да;
171;28;10;39000;14;1;Да;Для юных жителей будет обустроена велодорожка, для любителей домашних животных – зона для игр и дрессировки питомцев.
172;5;10;33000;15;1;Да;В ближайшем окружении работают детские сады, школы, гимназии, спортклубы, бассейны, супермаркеты, рестораны, банк.  В пешей доступности – зелёные набережные рек Охта и Оккервиль, а также благоустроенные парки: Ладожский, Малоохтинский и «Малиновка»
173;15;4;47000;27;0;Да;
174;26;7;36000;20;3;Да;
175;8;12;48000;3;4;Да;
176;19;4;50000;4;0;Да;
177;13;11;26000;17;1;Да;
178;25;1;22000;9;2;Да;
179;12;3;38000;6;0;Да;
180;22;9;33000;25;1;Да;
181;24;3;37000;9;1;Да;В пешей доступности Муринский парк, Сад «Прометей», сквер Конашевича и другие зоны отдыха
182;16;9;26000;14;1;Нет;
183;4;8;45000;9;4;Нет;Исторический центр Санкт-Петербурга.
184;15;1;44000;8;0;Да;
185;10;11;32000;11;0;Да;
186;9;8;29000;24;1;Да;Для прогулки и тренировок с любимыми четвероногими доступна благоустроенная придомовая территория.
187;7;2;53000;21;1;Да;
188;14;9;58000;26;0;Да;
189;24;1;38000;25;1;Да;Внутренний двор с игровыми и спортивными зонами для отдыха, огороженная дрессировочная площадка для собак.
190;16;11;56000;5;2;Да;
191;20;12;38000;25;1;Нет;Всепогодные игровые площадки и беседки, места для спорта, прогулок, выгула собак
192;10;12;41000;4;4;Да;Рядом с домом расположены Суздальские озера и Шуваловский парк, площадка для выгула четвнроногих питомцев.
193;5;5;49000;3;3;Нет;
194;26;2;37000;15;3;Да;
195;19;7;45000;9;3;Нет;В ближайшем окружении работают детские сады, школы, гимназии, спортклубы, бассейны, супермаркеты, рестораны, банк.  В пешей доступности – зелёные набережные рек Охта и Оккервиль, а также благоустроенные парки: Ладожский, Малоохтинский и «Малиновка»
196;13;7;23000;7;4;Да;
197;22;5;40000;4;1;Да;Парк отдыха со специально оборудованными зонами для игры с домашними питомцами.
198;4;8;24000;20;1;Да;
199;27;5;41000;25;2;Да;
200;11;10;45000;24;4;Нет;
